alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00029,S0301,T004,backlog,52.5,65.5,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00029,mentor_check_in,Arrange subject-focused backlog recovery support.,,,,,,
ALT00030,S0151,T002,gpa_threshold,49.8,56.0,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00030,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00031,S0454,T005,attendance_shortage,55.9,60.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00031,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00032,S0203,T003,attendance_shortage,52.8,60.3,Medium,High,2026-09-01,ACTION_TAKEN,INT00032,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00033,S0201,T003,attendance_shortage,51.4,61.3,Medium,High,2026-09-01,NEW,INT00033,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00034,S0156,T002,attendance_shortage,55.4,50.9,Medium,High,2026-09-01,NEW,INT00034,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00035,S0305,T004,attendance_shortage,47.9,53.8,Medium,High,2026-09-01,NEW,INT00035,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00036,S0111,T002,attendance_shortage,47.0,57.5,Medium,High,2026-09-01,NEW,INT00036,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00037,S0106,T002,attendance_shortage,50.2,49.4,Medium,High,2026-09-01,FOLLOW_UP,INT00037,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00038,S0256,T003,attendance_shortage,43.2,53.8,Medium,High,2026-09-01,ACKNOWLEDGED,INT00038,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00039,S0461,T005,backlog,48.9,53.5,Medium,Medium,2026-09-01,FOLLOW_UP,INT00039,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00040,S0304,T004,attendance_shortage,41.7,42.4,Medium,High,2026-09-01,ACTION_TAKEN,INT00040,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00041,S0406,T005,gpa_threshold,38.2,42.3,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00041,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00042,S0432,T005,backlog,47.2,44.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00042,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,,,,
ALT00043,S0004,T001,attendance_shortage,36.5,46.9,Medium,High,2026-09-01,ACTION_TAKEN,INT00043,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00044,S0012,T001,attendance_shortage,31.9,41.1,Medium,High,2026-09-01,NEW,INT00044,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00045,S0206,T003,backlog,38.9,40.8,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00045,mentor_check_in,Arrange subject-focused backlog recovery support.,,,,,,
ALT00046,S0309,T004,gpa_threshold,42.9,44.3,Medium,Medium,2026-09-01,FOLLOW_UP,INT00046,mentor_check_in,Review academic progress and agree on a focused study plan.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00047,S0005,T001,gpa_threshold,30.4,46.2,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00047,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00048,S0205,T003,attendance_shortage,37.9,41.4,Medium,High,2026-09-01,ACKNOWLEDGED,INT00048,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00049,S0112,T002,backlog,35.3,42.8,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00049,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,,,,
ALT00050,S0056,T001,attendance_shortage,28.1,40.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00050,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00051,S0258,T003,attendance_shortage,28.5,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00051,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00052,S0354,T004,attendance_shortage,32.3,42.6,Medium,High,2026-09-01,ACKNOWLEDGED,INT00052,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00053,S0006,T001,attendance_shortage,33.6,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00053,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00054,S0457,T005,attendance_shortage,27.2,40.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00054,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00055,S0146,T002,backlog,29.2,40.0,Medium,Medium,2026-09-01,FOLLOW_UP,INT00055,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00056,S0400,T004,backlog,36.3,40.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00056,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,,,,
ALT00057,S0047,T001,backlog,28.5,40.0,Medium,Medium,2026-09-01,FOLLOW_UP,INT00057,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00058,S0455,T005,attendance_shortage,27.7,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00058,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00059,S0255,T003,attendance_shortage,25.3,40.0,Medium,High,2026-09-01,NEW,INT00059,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00060,S0404,T005,gpa_threshold,31.3,40.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00060,mentor_check_in,Review academic progress and agree on a focused study plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00061,S0460,T005,gpa_threshold,33.4,40.0,Medium,Medium,2026-09-01,NEW,INT00061,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00062,S0403,T005,gpa_threshold,35.7,40.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00062,mentor_check_in,Review academic progress and agree on a focused study plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00063,S0306,T004,attendance_shortage,23.0,40.0,Medium,High,2026-09-01,NEW,INT00063,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00064,S0155,T002,gpa_threshold,34.2,40.0,Medium,Medium,2026-09-01,NEW,INT00064,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00065,S0405,T005,attendance_shortage,24.2,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00065,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00066,S0211,T003,gpa_threshold,24.7,40.0,Medium,Medium,2026-09-01,NEW,INT00066,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00067,S0107,T002,attendance_shortage,30.4,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00067,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00068,S0252,T003,gpa_threshold,25.3,40.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00068,mentor_check_in,Review academic progress and agree on a focused study plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00069,S0105,T002,gpa_threshold,27.6,40.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00069,mentor_check_in,Review academic progress and agree on a focused study plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00070,S0110,T002,attendance_shortage,20.3,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00070,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00071,S0103,T002,attendance_shortage,20.9,40.0,Medium,High,2026-09-01,FOLLOW_UP,INT00071,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00072,S0357,T004,attendance_shortage,26.0,40.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00072,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
