student_id,cohort,academic_year,semester,checkpoint_week,department,batch,section,_archetype,current_gpa,current_cgpa,previous_gpa,previous_cgpa,gpa_change,internal_marks_average,midterm_marks_average,quiz_average,assignment_average,practical_marks_average,assessment_trend,assignment_completion_rate,current_attendance_percentage,attendance_last_30_days,attendance_trend,consecutive_absence_days,total_absent_days,recent_absence_rate,projected_final_attendance,current_backlog_count,previous_backlog_count,total_historical_backlogs,new_backlogs_last_semester,repeated_backlog_subject_count,backlog_growth_rate,assessment_participation_rate,recent_engagement_score,engagement_trend,fee_status,fee_arrears_amount,payment_delay_days,installment_pending,prolonged_absence_flag,prolonged_absence_days,academic_decline_flag,repeated_backlog_flag,engagement_decline_flag
S0015,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,8.01,7.8,7.8,7.82,0.21,62.7,53.7,60.2,68.2,59.2,declining,0.52,94.4,98.4,stable,2,3,0.02,90.2,0,0,1,0,0,0.0,0.68,0.61,stable,paid,0,0,False,False,0,False,False,False
S0016,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,8.67,8.82,8.68,8.81,-0.01,67.5,70.3,62.8,65.3,69.7,stable,0.59,89.5,86.3,declining,2,8,0.14,87.9,0,0,0,0,0,0.0,0.69,0.64,stable,paid,0,0,False,False,0,False,False,False
S0017,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,7.51,7.66,7.54,7.71,-0.03,65.0,65.7,67.7,65.8,71.0,improving,0.78,95.9,99.1,improving,0,13,0.01,95.4,0,0,1,0,0,0.0,0.7,0.74,improving,paid,0,0,False,False,0,False,False,False
S0018,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,9.05,9.28,9.28,9.41,-0.23,68.5,70.3,60.4,75.8,66.1,stable,0.85,78.9,77.0,declining,2,8,0.23,75.1,1,0,2,1,0,1.0,0.88,0.84,improving,paid,0,0,False,False,0,False,False,False
S0019,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,9.03,9.1,8.96,9.15,0.07,69.6,77.6,74.9,70.0,70.1,stable,0.56,78.5,72.4,declining,1,3,0.28,76.3,0,0,1,0,0,0.0,0.69,0.63,stable,paid,0,0,False,False,0,False,False,False
S0020,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,8.13,8.41,8.52,8.55,-0.39,58.9,65.9,61.6,56.3,62.7,stable,0.64,95.7,93.6,declining,2,11,0.06,94.2,0,0,0,0,0,0.0,0.74,0.74,stable,paid,0,0,False,False,0,False,False,False
S0021,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,9.0,9.05,8.83,8.93,0.17,80.0,83.3,83.0,76.8,88.5,improving,0.85,92.4,86.3,declining,1,12,0.14,91.4,0,0,0,0,0,0.0,0.95,0.9,improving,paid,0,0,False,False,0,False,False,False
S0022,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,6.89,6.92,6.68,6.79,0.21,59.9,68.5,65.3,68.9,67.5,improving,0.72,76.1,69.7,declining,2,8,0.3,72.4,0,0,1,0,0,0.0,0.75,0.78,stable,paid,0,0,False,False,0,False,False,False
S0023,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,8.56,8.43,8.65,8.46,-0.09,61.2,68.9,65.4,59.7,57.6,improving,0.91,80.1,78.1,declining,1,11,0.22,76.9,0,0,1,0,0,0.0,0.9,0.81,stable,pending,4404,0,False,False,0,False,False,False
S0024,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,7.52,7.38,7.24,7.35,0.28,59.7,52.1,52.4,60.3,59.3,stable,0.81,88.1,88.4,improving,1,3,0.12,87.0,0,0,1,0,0,0.0,0.79,0.79,improving,pending,1580,0,False,False,0,False,False,False
S0025,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,6.89,7.0,6.94,7.04,-0.05,57.6,53.9,63.3,63.6,59.1,stable,0.64,84.8,83.5,declining,2,10,0.17,80.4,0,0,1,0,0,0.0,0.7,0.67,improving,paid,0,0,False,False,0,False,False,False
S0026,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,8.72,8.69,8.38,8.56,0.34,66.2,62.9,59.7,67.5,72.3,improving,0.82,82.6,85.7,improving,1,6,0.14,81.8,0,0,1,0,0,0.0,0.75,0.75,improving,paid,0,0,False,False,0,False,False,False
S0027,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,9.1,9.14,9.26,9.18,-0.16,65.0,59.2,65.5,63.3,62.5,declining,0.79,96.9,96.1,declining,0,4,0.04,91.9,0,0,1,0,0,0.0,0.71,0.69,stable,paid,0,0,False,False,0,False,False,False
S0028,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,7.74,7.47,7.46,7.59,0.28,54.6,49.3,50.4,59.4,58.4,stable,0.65,77.7,72.9,declining,2,12,0.27,74.5,0,0,1,0,0,0.0,0.79,0.73,stable,paid,0,0,False,False,0,False,False,False
S0029,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,6.94,7.04,6.93,7.15,0.01,55.6,63.8,57.3,67.6,55.7,stable,0.71,83.7,77.1,declining,2,2,0.23,79.1,0,0,1,0,0,0.0,0.68,0.7,improving,paid,0,0,False,False,0,False,False,False
S0030,2023,2025-26,5,10,DEPT_CSE,2023,B,normal,7.61,7.57,7.46,7.42,0.15,57.3,61.4,60.0,71.9,61.6,stable,0.93,80.0,83.7,improving,2,5,0.16,76.1,0,0,0,0,0,0.0,0.85,0.88,improving,paid,0,0,False,False,0,False,False,False
S0031,2023,2025-26,5,10,DEPT_ECE,2023,A,critical_multi_risk,5.9,6.28,6.28,6.22,-0.38,50.9,55.9,47.8,48.4,46.5,declining,0.36,59.0,63.8,improving,6,21,0.36,56.9,2,1,3,1,1,0.5,0.32,0.36,declining,overdue,20168,50,True,True,6,True,True,True
S0032,2023,2025-26,5,10,DEPT_ECE,2023,A,critical_multi_risk,5.63,5.39,5.26,5.25,0.37,38.8,42.3,43.1,49.3,46.8,declining,0.47,64.8,57.4,declining,9,19,0.43,61.7,1,1,3,0,0,0.0,0.36,0.41,declining,overdue,28343,57,True,True,9,True,False,True
S0033,2023,2025-26,5,10,DEPT_ECE,2023,A,critical_multi_risk,5.82,5.79,5.96,5.9,-0.14,44.1,51.2,40.1,50.9,45.1,stable,0.38,52.5,46.9,declining,9,28,0.53,50.8,2,2,4,0,1,0.0,0.37,0.3,declining,overdue,23395,47,True,True,9,True,True,True
S0034,2023,2025-26,5,10,DEPT_ECE,2023,A,attendance_only,9.0,8.88,8.71,9.03,0.29,75.2,77.1,73.0,88.5,77.7,improving,0.6,53.3,46.2,declining,6,19,0.54,53.2,0,0,0,0,0,0.0,0.63,0.63,improving,paid,0,0,False,True,6,False,False,False
S0035,2023,2025-26,5,10,DEPT_ECE,2023,A,attendance_only,8.07,8.0,8.1,8.12,-0.03,60.3,56.8,68.5,65.9,66.4,stable,0.73,65.3,61.2,declining,7,32,0.39,63.7,0,0,0,0,0,0.0,0.78,0.7,stable,paid,0,0,False,True,7,False,False,False
S0036,2023,2025-26,5,10,DEPT_ECE,2023,A,attendance_only,7.85,7.94,8.08,7.93,-0.23,70.7,74.2,77.0,83.8,77.5,improving,0.72,58.1,51.4,declining,6,28,0.49,53.3,0,0,1,0,0,0.0,0.67,0.71,improving,paid,0,0,False,True,6,False,False,False
S0037,2023,2025-26,5,10,DEPT_ECE,2023,A,discontinuation_watch,8.54,8.27,8.34,8.26,0.2,68.6,64.9,59.6,65.8,69.4,improving,0.3,79.2,73.9,declining,2,5,0.26,77.2,0,0,0,0,0,0.0,0.21,0.26,declining,overdue,25824,28,True,False,0,False,False,True
S0038,2023,2025-26,5,10,DEPT_ECE,2023,A,discontinuation_watch,8.38,8.31,8.37,8.29,0.01,71.5,78.3,66.7,72.9,70.1,stable,0.37,78.0,73.0,declining,2,5,0.27,73.3,0,0,0,0,0,0.0,0.35,0.33,declining,overdue,17801,53,True,False,0,False,False,True
S0039,2023,2025-26,5,10,DEPT_ECE,2023,A,discontinuation_watch,7.24,7.21,7.58,7.12,-0.34,50.4,42.6,52.8,50.2,53.9,stable,0.34,78.6,70.7,declining,0,12,0.29,75.5,0,0,0,0,0,0.0,0.34,0.27,declining,overdue,32788,59,True,False,0,False,False,True
S0040,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,7.41,7.48,7.3,7.43,0.11,64.1,66.1,58.4,67.4,63.9,improving,0.69,95.3,91.8,declining,1,2,0.08,94.5,0,0,1,0,0,0.0,0.84,0.78,improving,pending,4421,0,False,False,0,False,False,False
S0041,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,7.56,7.5,7.71,7.5,-0.15,68.3,58.4,58.6,83.2,72.1,improving,0.72,94.7,98.1,improving,1,8,0.02,91.6,0,0,0,0,0,0.0,0.68,0.64,improving,paid,0,0,False,False,0,False,False,False
S0042,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,7.51,7.55,7.3,7.48,0.21,61.9,63.0,59.8,70.5,67.8,stable,0.66,89.9,94.7,stable,0,7,0.05,87.3,0,0,0,0,0,0.0,0.64,0.61,stable,paid,0,0,False,False,0,False,False,False
S0043,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,7.78,7.82,7.5,7.72,0.28,57.4,64.6,65.7,56.6,59.4,declining,0.8,78.0,74.9,declining,2,6,0.25,74.3,0,0,1,0,0,0.0,0.79,0.72,improving,paid,0,0,False,False,0,False,False,False
S0044,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,8.17,7.89,7.85,7.96,0.32,57.7,67.3,55.2,67.1,66.0,stable,0.82,78.2,78.1,declining,1,8,0.22,76.2,0,0,1,0,0,0.0,0.88,0.86,improving,paid,0,0,False,False,0,False,False,False
S0045,2023,2025-26,5,10,DEPT_ECE,2023,A,normal,7.27,7.28,7.42,7.42,-0.15,54.1,46.1,59.2,66.7,53.3,improving,0.58,83.9,82.7,declining,2,2,0.17,82.6,0,0,0,0,0,0.0,0.66,0.64,stable,paid,0,0,False,False,0,False,False,False
S0046,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,9.1,9.13,8.94,9.24,0.16,79.2,88.9,88.8,93.3,75.3,improving,0.59,89.7,88.9,declining,1,3,0.11,85.5,0,0,1,0,0,0.0,0.6,0.63,stable,paid,0,0,False,False,0,False,False,False
S0047,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.41,7.28,7.25,7.25,0.16,63.4,68.8,57.5,77.2,60.2,declining,0.7,79.4,74.8,declining,1,4,0.25,78.5,0,0,1,0,0,0.0,0.8,0.78,stable,paid,0,0,False,False,0,False,False,False
S0048,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.39,7.3,7.41,7.22,-0.02,53.7,62.5,61.5,64.2,56.5,stable,0.87,90.9,89.9,declining,2,7,0.1,90.2,0,0,0,0,0,0.0,0.88,0.86,stable,paid,0,0,False,False,0,False,False,False
S0049,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,9.09,8.75,8.71,8.88,0.38,69.9,72.1,69.2,72.9,72.9,improving,0.76,79.4,82.0,improving,2,10,0.18,77.1,0,0,0,0,0,0.0,0.66,0.66,improving,paid,0,0,False,False,0,False,False,False
S0050,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,6.92,6.92,7.15,7.05,-0.23,54.4,57.2,44.4,69.3,53.6,improving,0.78,83.2,76.9,declining,2,7,0.23,80.0,0,0,0,0,0,0.0,0.88,0.79,stable,paid,0,0,False,False,0,False,False,False
S0051,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.57,7.74,7.55,7.69,0.02,55.4,59.0,62.3,51.2,57.1,declining,0.85,91.2,96.1,stable,1,11,0.04,89.7,0,0,0,0,0,0.0,0.8,0.8,improving,paid,0,0,False,False,0,False,False,False
S0052,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,8.57,8.7,8.9,8.74,-0.33,66.0,64.2,64.8,63.5,62.4,stable,0.85,84.5,85.1,stable,0,12,0.15,83.5,0,0,0,0,0,0.0,0.9,0.82,improving,paid,0,0,False,False,0,False,False,False
S0053,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.39,7.37,7.22,7.49,0.17,54.4,55.2,58.4,68.5,58.6,stable,0.71,90.0,86.2,declining,2,13,0.14,88.0,0,0,1,0,0,0.0,0.69,0.68,improving,paid,0,0,False,False,0,False,False,False
S0054,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,8.9,8.85,8.76,8.85,0.14,73.3,70.0,68.2,86.6,82.2,declining,0.98,88.8,90.5,stable,2,11,0.1,85.0,0,0,0,0,0,0.0,0.87,0.88,improving,paid,0,0,False,False,0,False,False,False
S0055,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,8.35,8.37,8.13,8.48,0.22,61.5,51.7,58.2,72.5,69.1,improving,0.83,82.1,75.6,declining,1,3,0.24,77.1,0,0,0,0,0,0.0,0.75,0.78,stable,paid,0,0,False,False,0,False,False,False
S0056,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.81,7.78,7.52,7.71,0.29,68.6,71.9,60.8,80.3,66.2,stable,0.9,89.0,87.5,declining,0,10,0.12,85.7,0,0,1,0,0,0.0,0.92,0.89,stable,paid,0,0,False,False,0,False,False,False
S0057,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.03,6.82,6.97,6.87,0.06,53.9,59.6,60.5,65.3,55.1,stable,0.75,91.3,93.7,improving,0,7,0.06,86.8,1,1,2,0,0,0.0,0.66,0.7,improving,paid,0,0,False,False,0,False,False,False
S0058,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.17,7.25,7.12,7.11,0.05,59.8,66.3,53.2,57.7,67.7,declining,0.63,87.2,89.8,improving,0,3,0.1,85.2,0,0,1,0,0,0.0,0.68,0.62,improving,paid,0,0,False,False,0,False,False,False
S0059,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,8.01,8.0,7.78,7.89,0.23,57.5,51.0,51.0,69.0,58.5,declining,0.64,91.8,92.3,stable,0,7,0.08,89.8,0,0,1,0,0,0.0,0.79,0.71,improving,paid,0,0,False,False,0,False,False,False
S0060,2023,2025-26,5,10,DEPT_ECE,2023,B,normal,7.26,7.31,7.31,7.41,-0.05,61.4,51.9,52.4,68.4,63.7,stable,0.67,80.6,82.5,improving,0,11,0.17,77.8,0,0,0,0,0,0.0,0.72,0.69,improving,paid,0,0,False,False,0,False,False,False
