alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00022,S0131,T003,backlog,66.5,57.5,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00022,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-09-03,,,,
ALT00023,S0137,T004,gpa,94.4,82.3,Medium,Medium,2026-08-26,ACTION_TAKEN,INT00023,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-08-28,,,,
ALT00024,S0137,T004,backlog,100.0,73.9,Medium,Medium,2026-08-27,ACTION_TAKEN,INT00024,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-29,,,,
ALT00025,S0148,T006,gpa,61.7,59.3,Medium,Medium,2026-08-29,NEW,,,Review weak subjects and create an academic study plan,,,,,,
ALT00026,S0148,T006,backlog,61.0,54.7,Medium,Medium,2026-08-27,NEW,,,Connect the student to remedial support,,,,,,
ALT00027,S0155,T001,gpa,57.2,60.6,Medium,Medium,2026-08-25,ACKNOWLEDGED,INT00027,mentor_check_in,Review weak subjects and create an academic study plan,,2026-08-27,,,,
ALT00028,S0185,T007,attendance,52.4,56.1,Medium,Medium,2026-08-28,ACTION_TAKEN,INT00028,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-30,,,,
ALT00029,S0187,T008,attendance,72.6,70.1,Medium,Medium,2026-08-29,FOLLOW_UP,INT00029,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-31,2026-09-06,,,
ALT00030,S0188,T008,gpa,54.7,57.8,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00030,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-03,,,,
ALT00031,S0189,T008,gpa,65.0,61.4,Medium,Medium,2026-08-25,ACTION_TAKEN,INT00031,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-08-27,,,,
ALT00032,S0190,T008,attendance,60.7,64.8,Medium,High,2026-08-23,FOLLOW_UP,INT00032,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-25,2026-08-31,,,
ALT00033,S0201,T011,gpa,52.4,55.6,Medium,Medium,2026-08-23,ACTION_TAKEN,INT00033,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-08-25,,,,
ALT00034,S0208,T012,backlog,61.0,55.7,Medium,Medium,2026-08-29,NEW,,,Connect the student to remedial support,,,,,,
ALT00035,S0215,T007,attendance,50.2,58.3,Medium,Medium,2026-08-30,FOLLOW_UP,INT00035,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-01,2026-09-07,,,
ALT00036,S0216,T008,attendance,53.0,54.9,Medium,Medium,2026-08-25,NEW,,,Review attendance barrier and create a recovery plan,,,,,,
ALT00037,S0217,T008,attendance,52.3,54.0,Medium,Medium,2026-08-25,ACKNOWLEDGED,INT00037,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-27,,,,
ALT00038,S0217,T008,gpa,60.4,64.9,Medium,Medium,2026-08-30,FOLLOW_UP,INT00038,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-01,2026-09-07,,,
ALT00039,S0217,T008,backlog,96.2,72.5,Medium,Medium,2026-08-29,ACTION_TAKEN,INT00039,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-31,,,,
ALT00040,S0218,T008,attendance,73.9,68.1,Medium,Medium,2026-08-27,ACTION_TAKEN,INT00040,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,,,,
ALT00041,S0219,T008,attendance,87.0,74.4,Medium,High,2026-08-31,FOLLOW_UP,INT00041,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-02,2026-09-08,,,
ALT00042,S0220,T008,attendance,80.3,73.9,Medium,High,2026-08-24,ACKNOWLEDGED,INT00042,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-26,,,,
ALT00043,S0237,T012,backlog,54.0,51.2,Medium,Medium,2026-08-23,NEW,,,Connect the student to remedial support,,,,,,
ALT00044,S0241,T001,attendance,58.5,63.9,Medium,Medium,2026-08-27,RESOLVED,INT00044,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,2026-09-04,no_change,Risk reduced after intervention.,29.9
ALT00045,S0242,T001,backlog,61.0,53.8,Medium,Medium,2026-08-24,NEW,,,Connect the student to remedial support,,,,,,
ALT00046,S0243,T001,attendance,55.2,61.3,Medium,Medium,2026-08-23,FOLLOW_UP,INT00046,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-25,2026-08-31,,,
ALT00047,S0243,T001,backlog,61.0,55.0,Medium,Medium,2026-08-23,ACKNOWLEDGED,INT00047,mentor_check_in,Connect the student to remedial support,,2026-08-25,,,,
ALT00048,S0244,T001,attendance,56.0,61.2,Medium,Medium,2026-08-25,NEW,,,Review attendance barrier and create a recovery plan,,,,,,
ALT00049,S0244,T001,gpa,56.6,60.3,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00049,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-03,,,,
ALT00050,S0244,T001,backlog,61.0,55.6,Medium,Medium,2026-08-29,NEW,,,Connect the student to remedial support,,,,,,
ALT00051,S0246,T002,attendance,59.0,59.4,Medium,High,2026-08-26,ACKNOWLEDGED,INT00051,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-28,,,,
ALT00052,S0249,T002,backlog,66.5,57.0,Medium,Medium,2026-08-25,NEW,,,Connect the student to remedial support,,,,,,
ALT00053,S0256,T004,backlog,62.2,57.1,Medium,Medium,2026-08-24,ACTION_TAKEN,INT00053,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-26,,,,
ALT00054,S0270,T006,backlog,61.0,59.3,Medium,Medium,2026-08-30,NEW,,,Connect the student to remedial support,,,,,,
ALT00055,S0272,T001,gpa,50.2,54.3,Medium,Medium,2026-08-30,FOLLOW_UP,INT00055,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-01,2026-09-07,,,
ALT00056,S0273,T001,support_attention,60.0,56.0,Medium,Medium,2026-08-31,ACKNOWLEDGED,INT00056,mentor_check_in,Initiate a supportive mentor check-in,,2026-09-02,,,,
ALT00057,S0277,T002,attendance,54.1,61.5,Medium,High,2026-08-31,FOLLOW_UP,INT00057,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-02,2026-09-08,,,
ALT00058,S0278,T002,attendance,55.5,59.4,Medium,High,2026-08-26,RESOLVED,INT00058,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-28,2026-09-03,improved,Risk reduced after intervention.,41.0
ALT00059,S0279,T002,attendance,53.2,54.9,Medium,Medium,2026-08-27,ACTION_TAKEN,INT00059,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,,,,
ALT00060,S0280,T002,attendance,71.1,68.4,Medium,High,2026-08-23,ACTION_TAKEN,INT00060,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-25,,,,
ALT00061,S0308,T008,backlog,72.0,61.9,Medium,Medium,2026-08-25,RESOLVED,INT00061,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-27,2026-09-02,improved,Risk reduced after intervention.,47.7
ALT00062,S0309,T008,attendance,69.9,67.4,Medium,High,2026-08-27,RESOLVED,INT00062,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,2026-09-04,improved,Risk reduced after intervention.,51.2
ALT00063,S0312,T009,support_attention,60.0,57.7,Medium,Medium,2026-08-28,FOLLOW_UP,INT00063,mentor_check_in,Initiate a supportive mentor check-in,Mentor follow-up completed,2026-08-30,2026-09-05,,,
ALT00064,S0322,T011,gpa,51.5,59.0,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00064,mentor_check_in,Review weak subjects and create an academic study plan,,2026-09-03,,,,
ALT00065,S0322,T011,backlog,100.0,79.7,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00065,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-09-03,,,,
ALT00066,S0329,T012,gpa,69.7,68.2,Medium,Medium,2026-08-23,NEW,,,Review weak subjects and create an academic study plan,,,,,,
ALT00067,S0332,T007,attendance,70.0,70.4,Medium,High,2026-08-29,RESOLVED,INT00067,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-31,2026-09-06,improved,Risk reduced after intervention.,40.7
ALT00068,S0334,T007,backlog,61.0,55.1,Medium,Medium,2026-08-28,NEW,,,Connect the student to remedial support,,,,,,
ALT00069,S0335,T007,attendance,52.0,56.4,Medium,Medium,2026-08-26,NEW,,,Review attendance barrier and create a recovery plan,,,,,,
ALT00070,S0336,T008,attendance,66.0,63.6,Medium,High,2026-08-27,NEW,,,Review attendance barrier and create a recovery plan,,,,,,
ALT00071,S0337,T008,attendance,62.5,66.2,Medium,Medium,2026-08-25,RESOLVED,INT00071,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-27,2026-09-02,improved,Risk reduced after intervention.,45.7
ALT00072,S0339,T008,attendance,86.5,76.8,Medium,Medium,2026-08-26,ACKNOWLEDGED,INT00072,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-28,,,,
ALT00073,S0351,T011,backlog,61.0,59.4,Medium,Medium,2026-08-28,RESOLVED,INT00073,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-30,2026-09-05,improved,Risk reduced after intervention.,50.3
