student_id,roll_number,cohort,academic_year,semester,checkpoint_week,department,batch,section,snapshot_type,current_gpa,current_cgpa,previous_gpa,previous_cgpa,gpa_change,internal_marks_average,midterm_marks_average,quiz_average,assignment_average,practical_marks_average,assessment_trend,assignment_completion_rate,current_attendance_percentage,attendance_last_30_days,attendance_trend,consecutive_absence_days,total_absent_days,recent_absence_rate,projected_final_attendance,current_backlog_count,previous_backlog_count,total_historical_backlogs,new_backlogs_last_semester,repeated_backlog_subject_count,backlog_growth_rate,assessment_participation_rate,recent_engagement_score,engagement_trend,fee_status,fee_arrears_amount,payment_delay_days,installment_pending,prolonged_absence_flag,prolonged_absence_days,academic_decline_flag,repeated_backlog_flag,engagement_decline_flag
S0003,23100003,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.45,7.62,8.13,8.25,-0.69,58.7,66.6,66.9,64.2,55.8,declining,0.5,61.7,58.6,declining,8,23,0.41,62.1,0,0,0,0,0,0.0,0.49,0.53,declining,paid,0,0,False,False,0,True,False,False
S0003,23100003,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.32,7.5,7.46,7.59,-0.14,54.8,48.9,43.4,59.6,43.4,stable,0.57,68.0,66.6,declining,0,17,0.33,64.8,0,0,2,1,0,0.0,0.55,0.53,declining,paid,0,0,False,False,0,False,False,False
S0003,23100003,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.63,7.79,8.08,8.01,-0.46,57.4,53.7,50.1,66.4,59.8,declining,0.53,62.4,58.8,declining,7,21,0.41,59.2,0,0,0,1,0,0.0,0.48,0.52,declining,paid,0,0,False,False,0,True,False,False
S0003,23100003,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.71,8.07,8.2,8.35,-0.49,72.4,81.1,83.4,70.9,79.9,declining,0.46,69.1,67.6,declining,3,16,0.32,66.7,0,0,0,0,0,0.0,0.43,0.44,declining,paid,0,0,False,False,0,True,False,True
S0003,23100003,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.43,7.63,7.45,7.52,-0.02,49.7,57.5,47.3,49.9,61.6,stable,0.52,66.9,68.2,improving,3,19,0.32,68.1,0,0,2,1,0,0.0,0.52,0.49,declining,paid,0,0,False,False,0,False,False,False
S0003,23100003,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.47,8.31,8.67,8.66,-1.2,60.7,71.5,53.1,64.8,64.6,declining,0.57,56.8,52.6,declining,7,22,0.47,53.6,0,0,0,0,0,0.0,0.53,0.53,declining,paid,0,0,False,True,7,True,False,False
S0004,23100004,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,6.6,6.82,6.88,7.18,-0.28,52.3,60.8,51.2,57.3,46.4,declining,0.45,77.9,74.3,declining,0,17,0.26,75.3,1,0,1,0,0,1.0,0.44,0.46,declining,paid,0,0,False,False,0,True,False,False
S0004,23100004,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,6.56,6.95,7.31,7.49,-0.74,44.0,42.5,41.2,37.7,52.4,declining,0.43,83.9,84.5,stable,0,15,0.15,82.8,2,1,2,0,1,0.5,0.49,0.45,declining,paid,0,0,False,False,0,True,True,True
S0004,23100004,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,6.82,7.39,7.85,7.88,-1.04,54.6,58.7,46.5,54.2,58.2,declining,0.47,73.2,75.6,improving,0,14,0.24,72.8,2,2,4,0,1,0.0,0.47,0.47,declining,paid,0,0,False,False,0,True,True,False
S0004,23100004,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.01,7.13,7.37,7.25,-0.36,59.0,63.8,67.5,67.7,55.4,declining,0.45,74.3,71.5,declining,1,15,0.29,71.2,2,2,2,0,1,0.0,0.47,0.46,declining,paid,0,0,False,False,0,True,True,False
S0004,23100004,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.28,7.53,7.54,7.45,-0.26,53.6,58.3,54.8,49.4,60.2,declining,0.42,76.1,74.6,declining,1,15,0.25,76.5,0,2,2,0,0,-0.67,0.45,0.47,declining,paid,0,0,False,False,0,True,False,False
S0004,23100004,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,6.63,6.54,6.69,6.6,-0.06,59.8,56.2,65.5,59.6,72.8,stable,0.49,73.4,69.6,declining,1,15,0.3,69.8,0,0,2,0,0,0.0,0.46,0.46,declining,paid,0,0,False,False,0,False,False,False
S0004,23100004,2023,2026-27,7,6,DEPT_CSE,2023,A,current,6.68,6.73,6.73,6.86,-0.05,60.1,69.0,64.8,65.0,66.6,stable,0.46,77.1,72.2,declining,2,12,0.28,73.8,0,0,0,0,0,0.0,0.46,0.43,declining,paid,0,0,False,False,0,False,False,True
S0005,23100005,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.54,7.54,7.72,7.68,-0.18,60.6,57.2,57.5,60.7,70.2,stable,0.72,69.6,69.1,stable,3,22,0.31,70.0,0,0,2,0,0,0.0,0.72,0.71,declining,paid,0,0,False,False,0,False,False,False
S0005,23100005,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.74,7.98,8.1,8.22,-0.36,64.2,63.5,60.6,65.9,82.2,declining,0.67,77.1,76.2,stable,1,13,0.24,75.5,0,0,0,0,0,0.0,0.66,0.7,declining,paid,0,0,False,False,0,True,False,False
S0005,23100005,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.42,7.81,8.06,8.18,-0.64,59.6,63.8,49.0,69.5,62.6,declining,0.65,68.2,69.5,improving,2,17,0.31,68.5,0,0,0,0,0,0.0,0.68,0.71,declining,overdue,6492,58,True,False,0,True,False,False
S0005,23100005,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.47,7.83,8.27,8.36,-0.8,65.6,58.5,64.4,76.3,65.1,declining,0.7,67.5,63.9,declining,0,19,0.36,64.7,1,0,2,0,0,1.0,0.67,0.69,declining,paid,0,0,False,False,0,True,False,False
S0005,23100005,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.56,7.73,7.9,8.01,-0.34,67.1,79.4,73.2,80.0,69.7,declining,0.66,73.9,69.7,declining,3,16,0.3,69.4,1,1,2,0,1,0.0,0.78,0.72,declining,paid,0,0,False,False,0,True,True,False
S0005,23100005,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.32,7.35,7.33,7.54,-0.02,52.2,58.3,47.1,59.3,55.8,stable,0.72,70.3,70.2,stable,3,16,0.3,70.0,1,1,3,0,1,0.0,0.76,0.72,declining,paid,0,0,False,False,0,False,True,False
S0005,23100005,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.41,7.47,7.61,7.58,-0.2,53.3,55.1,62.9,56.1,57.6,stable,0.65,69.6,72.4,improving,2,18,0.28,65.5,0,1,2,0,0,-0.5,0.62,0.66,declining,paid,0,0,False,False,0,False,False,False
S0006,23100006,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,8.46,8.83,9.32,9.42,-0.86,64.6,71.8,60.2,75.1,58.5,declining,0.66,62.6,60.0,declining,9,20,0.4,63.0,0,0,0,0,0,0.0,0.7,0.68,stable,paid,0,0,False,False,0,True,False,False
S0006,23100006,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,8.24,8.51,8.51,8.67,-0.27,82.9,85.7,85.8,91.9,78.8,declining,0.68,65.3,65.3,stable,3,22,0.35,64.3,1,0,3,0,0,1.0,0.73,0.69,stable,paid,0,0,False,False,0,True,False,False
S0006,23100006,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,8.42,8.73,9.1,9.19,-0.68,70.6,70.9,66.5,74.5,72.7,declining,0.61,63.9,62.9,declining,2,21,0.37,63.2,1,1,1,0,1,0.0,0.64,0.65,stable,paid,0,0,False,False,0,True,True,False
S0006,23100006,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,8.42,8.12,7.95,7.76,0.47,70.3,65.3,70.7,77.4,77.3,improving,0.63,67.2,61.9,declining,6,14,0.38,64.2,1,1,2,0,1,0.0,0.53,0.62,stable,paid,0,0,False,False,0,False,True,False
S0006,23100006,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,8.3,8.49,8.74,8.78,-0.44,67.1,65.7,57.9,64.7,65.6,declining,0.64,66.3,61.5,declining,5,21,0.39,64.6,1,1,1,0,1,0.0,0.6,0.63,stable,paid,0,0,False,False,0,True,True,False
S0006,23100006,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,8.23,8.32,8.21,8.08,0.03,56.4,52.0,50.1,63.9,62.0,stable,0.62,64.8,62.0,declining,2,17,0.38,62.4,1,1,2,0,1,0.0,0.53,0.58,stable,paid,0,0,False,False,0,False,True,False
S0006,23100006,2023,2026-27,7,6,DEPT_CSE,2023,A,current,8.38,8.03,7.92,8.42,0.46,65.1,59.0,65.5,70.2,72.8,improving,0.58,66.3,64.7,declining,3,20,0.35,65.6,1,1,2,0,1,0.0,0.58,0.56,stable,paid,0,0,False,False,0,False,True,False
S0007,23100007,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,6.94,6.99,6.78,6.72,0.16,48.5,51.4,44.6,54.0,48.8,stable,0.62,64.3,66.5,improving,3,21,0.34,67.3,0,0,0,0,0,0.0,0.61,0.63,stable,paid,0,0,False,False,0,False,False,False
S0007,23100007,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,6.52,7.1,7.19,7.44,-0.67,47.5,48.8,41.8,51.7,54.1,declining,0.59,71.3,74.8,improving,1,15,0.25,72.0,0,0,0,1,0,0.0,0.6,0.67,stable,paid,0,0,False,False,0,True,False,False
S0007,23100007,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,6.46,6.36,6.2,6.21,0.26,50.4,56.7,50.6,53.2,57.8,improving,0.65,70.8,65.9,declining,1,19,0.34,70.4,0,0,2,0,0,0.0,0.62,0.66,stable,paid,0,0,False,False,0,False,False,False
S0007,23100007,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,6.46,6.55,6.5,6.31,-0.04,50.4,53.7,49.0,62.4,56.3,stable,0.69,73.5,71.9,declining,3,19,0.28,71.0,0,0,1,0,0,0.0,0.65,0.67,stable,paid,0,0,False,False,0,False,False,False
S0007,23100007,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,6.76,6.75,6.76,7.04,0.0,57.7,53.7,58.0,61.3,50.2,stable,0.63,68.2,67.9,stable,1,20,0.32,66.5,0,0,0,0,0,0.0,0.66,0.64,stable,paid,0,0,False,False,0,False,False,False
S0007,23100007,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,6.63,6.78,7.22,7.4,-0.59,55.0,54.1,57.4,59.0,53.1,declining,0.6,72.0,69.6,declining,3,15,0.3,73.2,1,0,3,1,0,1.0,0.66,0.67,stable,paid,0,0,False,False,0,True,False,False
S0007,23100007,2023,2026-27,7,6,DEPT_CSE,2023,A,current,6.59,6.54,6.51,6.4,0.08,60.3,69.6,64.6,59.6,65.3,stable,0.57,66.6,66.9,stable,3,21,0.33,67.5,1,1,1,2,1,0.0,0.59,0.65,stable,paid,0,0,False,False,0,False,True,False
S0008,23100008,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.71,7.36,7.11,7.01,0.6,56.1,57.2,51.3,59.2,57.8,improving,0.66,70.3,68.6,declining,3,19,0.31,71.3,0,0,2,0,0,0.0,0.77,0.73,stable,overdue,27860,11,True,False,0,False,False,False
S0008,23100008,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,8.1,8.32,8.71,8.77,-0.61,72.9,77.2,72.7,82.1,70.3,declining,0.73,74.4,73.1,declining,1,12,0.27,72.9,0,0,0,0,0,0.0,0.72,0.74,stable,paid,0,0,False,False,0,True,False,False
S0008,23100008,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.38,7.28,7.13,6.89,0.25,65.8,69.2,70.1,77.5,63.9,stable,0.66,69.8,73.6,improving,2,16,0.26,70.4,0,0,1,0,0,0.0,0.71,0.72,stable,paid,0,0,False,False,0,False,False,False
S0008,23100008,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.43,7.54,7.65,7.72,-0.22,67.3,68.7,72.4,76.5,73.0,stable,0.69,65.6,67.8,improving,3,24,0.32,66.3,1,0,2,0,0,1.0,0.7,0.71,stable,paid,0,0,False,False,0,False,False,False
S0008,23100008,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.22,7.3,7.34,7.26,-0.12,60.9,50.3,52.7,76.5,56.6,stable,0.68,66.7,60.7,declining,7,20,0.39,65.5,0,1,3,0,0,-0.5,0.67,0.72,stable,paid,0,0,False,False,0,False,False,False
S0008,23100008,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.67,7.33,6.87,6.82,0.8,68.4,64.0,64.2,73.3,64.0,improving,0.71,74.1,74.4,stable,2,14,0.26,72.1,1,0,1,0,0,1.0,0.71,0.71,stable,paid,0,0,False,False,0,False,False,False
S0008,23100008,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.49,7.49,7.44,7.56,0.04,64.1,66.6,66.9,71.3,66.4,stable,0.73,71.9,70.1,declining,1,19,0.3,72.0,1,1,2,0,1,0.0,0.69,0.72,stable,overdue,36926,62,True,False,0,False,True,False
S0009,23100009,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.21,6.88,6.33,6.2,0.88,66.1,62.4,63.3,63.6,63.6,improving,0.72,60.3,59.0,declining,9,29,0.41,57.2,0,0,1,0,0,0.0,0.64,0.67,stable,paid,0,0,False,False,0,False,False,False
S0009,23100009,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.01,7.05,6.87,7.0,0.15,58.3,48.5,55.6,67.5,62.1,stable,0.66,60.8,58.0,declining,10,25,0.42,60.5,0,0,1,0,0,0.0,0.69,0.68,stable,paid,0,0,False,True,10,False,False,False
S0009,23100009,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.17,6.98,6.91,6.82,0.26,47.0,49.1,35.9,47.8,57.1,improving,0.76,58.7,54.8,declining,9,24,0.45,59.8,0,0,2,1,0,0.0,0.64,0.7,stable,overdue,44961,17,True,True,9,False,False,False
S0009,23100009,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.01,7.33,7.71,7.62,-0.7,52.0,50.8,53.8,62.4,38.2,declining,0.67,58.3,59.0,stable,5,24,0.41,57.0,0,0,1,0,0,0.0,0.66,0.68,stable,paid,0,0,False,False,0,True,False,False
S0009,23100009,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,6.89,7.22,7.03,7.0,-0.14,61.9,61.5,60.6,65.6,62.4,stable,0.64,62.0,64.6,improving,1,23,0.35,63.6,0,0,1,0,0,0.0,0.69,0.67,stable,paid,0,0,False,False,0,False,False,False
S0009,23100009,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.18,7.1,7.35,7.28,-0.17,59.1,69.2,59.6,52.5,60.5,stable,0.65,60.5,58.6,declining,10,22,0.41,63.4,0,0,0,0,0,0.0,0.6,0.64,stable,paid,0,0,False,False,0,False,False,False
S0009,23100009,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.03,7.02,7.29,7.06,-0.26,65.3,55.8,58.7,73.0,77.3,declining,0.72,62.6,57.9,declining,7,22,0.42,61.3,0,0,0,0,0,0.0,0.72,0.7,stable,paid,0,0,False,True,7,True,False,False
S0010,23100010,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,6.87,6.95,6.88,6.59,-0.02,50.8,51.1,44.9,54.9,51.2,stable,0.72,65.2,67.4,improving,0,18,0.33,64.4,0,0,1,2,0,0.0,0.8,0.78,stable,paid,0,0,False,False,0,False,False,False
S0010,23100010,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.3,7.55,7.95,7.99,-0.65,52.6,46.9,43.6,66.1,69.2,declining,0.86,66.0,60.3,declining,8,16,0.4,63.4,0,0,0,1,0,0.0,0.8,0.84,stable,paid,0,0,False,False,0,True,False,False
S0010,23100010,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.3,7.53,7.41,7.44,-0.12,54.2,48.4,58.8,61.8,62.8,stable,0.71,69.3,69.9,stable,2,21,0.3,69.7,0,0,1,0,0,0.0,0.73,0.73,stable,paid,0,0,False,False,0,False,False,False
S0010,23100010,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.31,7.05,6.99,7.23,0.31,58.2,54.2,72.5,63.6,57.8,improving,0.76,66.5,68.4,improving,0,18,0.32,66.7,0,0,2,0,0,0.0,0.69,0.71,stable,paid,0,0,False,False,0,False,False,False
S0010,23100010,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.1,7.34,7.5,7.46,-0.4,48.2,49.4,49.6,62.7,46.2,declining,0.74,63.7,59.5,declining,10,21,0.41,62.6,0,0,1,0,0,0.0,0.72,0.75,stable,paid,0,0,False,False,0,True,False,False
S0010,23100010,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.02,7.38,7.53,7.58,-0.51,50.4,48.8,46.3,59.4,48.4,declining,0.83,68.0,69.6,improving,2,18,0.3,69.5,0,0,2,0,0,0.0,0.73,0.74,stable,paid,0,0,False,False,0,True,False,False
S0010,23100010,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.06,6.87,7.01,6.74,0.04,60.2,69.7,61.3,65.9,71.3,stable,0.74,64.1,65.6,improving,3,21,0.34,65.5,0,0,2,0,0,0.0,0.75,0.78,stable,paid,0,0,False,False,0,False,False,False
S0011,23100011,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,8.28,8.14,8.34,8.17,-0.06,69.5,65.6,70.5,83.4,71.4,stable,0.35,86.3,83.7,declining,0,9,0.16,84.6,0,0,1,0,0,0.0,0.34,0.36,declining,overdue,25413,15,True,False,0,False,False,True
S0011,23100011,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,8.1,8.12,8.08,8.16,0.02,68.0,70.0,73.2,74.6,73.5,stable,0.35,88.4,88.7,stable,1,10,0.11,88.4,0,0,2,0,0,0.0,0.38,0.38,declining,paid,0,0,False,False,0,False,False,True
S0011,23100011,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.66,7.6,7.73,7.42,-0.08,46.9,44.2,44.5,47.7,55.5,stable,0.4,85.3,85.4,stable,3,9,0.15,86.5,1,0,2,0,0,1.0,0.51,0.41,declining,paid,0,0,False,False,0,False,False,True
S0011,23100011,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,8.16,8.47,8.42,8.43,-0.27,67.7,66.4,71.0,71.1,65.0,declining,0.34,82.2,84.1,improving,2,13,0.16,85.3,0,1,2,0,0,-0.5,0.29,0.32,declining,overdue,13202,13,True,False,0,True,False,True
S0011,23100011,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,8.26,8.29,8.55,8.73,-0.28,62.1,58.5,66.5,60.3,66.2,declining,0.37,83.9,87.4,improving,1,12,0.13,85.9,0,0,0,0,0,0.0,0.4,0.4,declining,overdue,5563,59,True,False,0,True,False,True
S0011,23100011,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.91,7.97,8.13,8.39,-0.21,62.5,81.5,64.2,63.3,73.0,stable,0.36,89.9,90.9,improving,1,11,0.09,87.6,0,0,1,0,0,0.0,0.31,0.34,declining,paid,0,0,False,False,0,False,False,True
S0011,23100011,2023,2026-27,7,6,DEPT_CSE,2023,A,current,8.02,8.03,7.89,7.91,0.13,56.9,59.8,48.8,58.8,60.7,stable,0.36,89.8,93.0,improving,3,7,0.07,89.1,0,0,2,0,0,0.0,0.37,0.39,declining,paid,0,0,False,False,0,False,False,True
S0012,23100012,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,8.11,8.12,7.99,7.81,0.12,57.1,70.0,56.9,63.4,61.5,stable,0.6,77.9,76.4,declining,3,18,0.24,77.0,0,0,0,0,0,0.0,0.56,0.55,stable,paid,0,0,False,False,0,False,False,False
S0012,23100012,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.66,8.0,8.37,8.35,-0.71,72.9,80.6,71.4,76.6,80.2,declining,0.51,85.2,83.6,declining,3,10,0.16,86.3,0,0,2,1,0,0.0,0.52,0.46,stable,paid,0,0,False,False,0,True,False,False
S0012,23100012,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.93,7.72,7.36,7.4,0.57,65.8,68.0,77.5,66.3,73.2,improving,0.49,85.9,94.9,improving,2,7,0.05,90.0,0,0,2,0,0,0.0,0.51,0.48,stable,paid,0,0,False,False,0,False,False,False
S0012,23100012,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,8.02,7.96,8.32,8.52,-0.3,65.4,68.1,61.6,76.9,65.8,declining,0.58,81.1,79.6,declining,1,8,0.2,80.1,0,0,2,0,0,0.0,0.53,0.52,stable,paid,0,0,False,False,0,True,False,False
S0012,23100012,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,8.26,8.32,8.43,8.36,-0.16,68.0,74.4,66.9,65.7,63.5,stable,0.46,86.8,85.6,declining,1,10,0.14,87.0,0,0,0,0,0,0.0,0.53,0.5,stable,pending,3032,0,True,False,0,False,False,False
S0012,23100012,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.92,8.19,8.06,8.03,-0.14,65.6,63.2,56.2,65.2,75.3,stable,0.48,89.3,87.9,declining,1,8,0.12,89.0,0,0,2,0,0,0.0,0.47,0.5,stable,paid,0,0,False,False,0,False,False,False
S0012,23100012,2023,2026-27,7,6,DEPT_CSE,2023,A,current,8.02,8.38,8.02,7.89,0.0,66.0,66.2,66.2,71.4,67.8,stable,0.53,85.0,90.9,improving,1,11,0.09,86.6,0,0,1,0,0,0.0,0.49,0.53,stable,overdue,25582,46,True,False,0,False,False,False
S0013,23100013,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.13,6.7,6.76,6.97,0.37,50.5,58.9,56.6,56.0,47.4,improving,0.32,85.9,87.9,improving,0,8,0.12,86.7,0,0,1,0,0,0.0,0.34,0.33,declining,paid,0,0,False,False,0,False,False,True
S0013,23100013,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.03,7.47,7.82,7.75,-0.79,56.7,48.7,50.6,56.0,63.8,declining,0.35,85.7,87.6,improving,1,8,0.12,85.8,0,0,2,0,0,0.0,0.39,0.37,declining,paid,0,0,False,False,0,True,False,True
S0013,23100013,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.19,7.27,7.24,7.11,-0.05,67.2,72.1,54.0,62.6,68.5,stable,0.39,86.7,83.2,declining,3,6,0.17,85.1,0,0,2,0,0,0.0,0.39,0.36,declining,paid,0,0,False,False,0,False,False,True
