department_id,department_name,course_id,course_name,semester,course_credits,passing_marks,attendance_threshold,gpa_threshold
DEPT_ECE,Electronics and Communication Engineering,ECE405,Embedded Systems,4,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE501,Digital Signal Processing,5,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE502,VLSI Design,5,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE503,Microprocessors,5,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE504,Control Systems,5,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE505,Communication Systems,5,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE601,Computer Architecture,6,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE602,Wireless Communication,6,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE603,IoT Systems,6,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE604,Digital System Design,6,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE605,Embedded C Programming,6,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE701,Advanced Communication Systems,7,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE702,Advanced VLSI,7,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE703,Image and Signal Processing,7,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE704,Project Work I,7,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE705,Professional Elective,7,3,40,75.0,7.0
